"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"257",7.06282208027421e-260,1.50988572824947,0.924,0.224,2.58506350960116e-255,"Maternal Natural Killer Cells","CST7"
"258",2.36240410011346e-187,1.41882642346428,0.716,0.171,8.64663524682527e-183,"Maternal Natural Killer Cells","GZMA"
"259",1.18445997729843e-128,1.38822879700459,0.65,0.226,4.33524196290999e-124,"Maternal Natural Killer Cells","CHST12"
"260",9.57106023979036e-285,1.38108425562008,0.396,0.033,3.50310375836567e-280,"Maternal Natural Killer Cells","KRT86"
"261",6.92789390149008e-91,2.95574775551362,0.69,0.152,2.53567844688438e-86,"Maternal Plasma Cells","IGKC"
"262",3.10307584596601e-214,2.95444715269395,0.487,0.031,1.13575679038202e-209,"Maternal Plasma Cells","IGHA1"
"263",1.23244502346798e-160,2.00972120129055,0.494,0.042,4.51087203039515e-156,"Maternal Plasma Cells","JCHAIN"
"264",1.02026072017041e-68,1.78881110211239,0.304,0.036,3.73425626189571e-64,"Maternal Plasma Cells","IGLC3"
"265",2.48094689068835e-30,1.64641645866413,0.253,0.051,9.08051371460844e-26,"Maternal Plasma Cells","IGLC2"
"266",1.20340822463141e-23,1.39606480541753,0.158,0.027,4.40459444297343e-19,"Maternal Plasma Cells","IGLC1"
"267",6.15678533163676e-150,1.34145493608658,0.956,0.163,2.25344499923237e-145,"Maternal Plasma Cells","CD79A"
"268",4.72015597868037e-67,1.29248688136991,1,0.676,1.7276242897568e-62,"Maternal Plasma Cells","CD74"
"269",7.63718298078235e-83,1.25926019783491,0.956,0.332,2.79528534279615e-78,"Maternal Plasma Cells","HLA-DQB1"
"270",2.6518749235637e-71,1.25645654878225,1,0.474,9.7061274077355e-67,"Maternal Plasma Cells","HLA-DRA"
